,ScriptName,26-Aug-22,Month Change,Date
0,Reliance Industries Ltd.,2618,2560.399902,01-09-2022
1,HDFC Bank Ltd.,1465.099976,1472.150024,01-09-2022
2,Infosys Ltd.,1521.550049,1464.199951,01-09-2022
3,ICICI Bank Ltd.,870.8499756,874.3499756,01-09-2022
4,Housing Development Finance Corporation Ltd.,2396.699951,2404.199951,01-09-2022
5,Tata Consultancy Services Ltd.,3222.199951,3131.699951,01-09-2022
6,Kotak Mahindra Bank Ltd.,1902.050049,1902.849976,01-09-2022
7,ITC Ltd.,312.8999939,317.6000061,01-09-2022
8,Hindustan Unilever Ltd.,2571.550049,2606,01-09-2022
9,Larsen & Toubro Ltd.,1905.400024,1912.949951,01-09-2022
10,State Bank Of India,523.7999878,533.2999878,01-09-2022
11,AXIS Bank Ltd.,744.9000244,744.1500244,01-09-2022
12,Bharti Airtel Ltd.,730.8499756,735.0499878,01-09-2022
13,Bajaj Finance Ltd.,7062.100098,7181.299805,01-09-2022
14,Asian Paints,3323.550049,3446.550049,01-09-2022
15,Maruti Suzuki India Ltd.,8720.599609,9024.5,01-09-2022
16,Mahindra & Mahindra Ltd.,1274.650024,1312.050049,01-09-2022
17,HCL Technologies Ltd.,945.6500244,926.0499878,01-09-2022
18,Sun Pharmaceutical Industries Ltd.,880.1500244,871.8499756,01-09-2022
19,Titan,2532.899902,2622,01-09-2022
20,Tata Motors Ltd.,465.0499878,466.8999939,01-09-2022
21,Power Grid Corporation of India Ltd.,230.4499969,226.1000061,01-09-2022
22,Tata Steel Ltd.,107.3499985,106.4000015,01-09-2022
23,NTPC Ltd.,163.3999939,160.6999969,01-09-2022
24,Bajaj Finserv Ltd.,16286,17406.40039,01-09-2022
25,UltraTech Cement Ltd.,6517.149902,6632.5,01-09-2022
26,Tech Mahindra Ltd.,1085.550049,1052.900024,01-09-2022
27,Nestle India Ltd.,19528.09961,19732.94922,01-09-2022
28,Wipro Ltd.,417.25,410.4500122,01-09-2022
29,Oil And Natural Gas Corporation Ltd.,136.6499939,134.6999969,01-09-2022
30,JSW Steel Ltd.,667,661.5999756,01-09-2022
31,Dr. Reddy’s Laboratories Ltd.,4223.299805,4202.100098,01-09-2022
32,IndusInd Bank Ltd.,1069.75,1111.400024,01-09-2022
33,HDFC Life Insurance Co.,566.9000244,575.5999756,01-09-2022
34,Grasim Industries Ltd.,1675.25,1685,01-09-2022
35,Cipla Ltd.,1020.799988,1023,01-09-2022
36,Hindalco Industries Ltd.,440.0499878,421.9500122,01-09-2022
37,Adani Port and Special Economic Zone Ltd.,837.7000122,837.7999878,01-09-2022
38,SBI Life Insurance Co.,1313.699951,1296.550049,01-09-2022
39,Bajaj Auto Ltd.,4054.399902,4076.300049,01-09-2022
40,Divi’s Laboratories Ltd.,3587.5,3599.199951,01-09-2022
41,Tata Consumer Products Ltd.,801.9500122,838.4000244,01-09-2022
42,Britannia Industries Ltd.,3650.149902,3718.149902,01-09-2022
43,Coal India Ltd,229.9499969,230.3000031,01-09-2022
44,Eicher Motors Ltd.,3355.100098,3411.600098,01-09-2022
45,Appolo Hospital,4215.25,4277.149902,01-09-2022
46,Hero MotoCorp Ltd.,2826.75,2876.649902,01-09-2022
47,UPL Ltd.,760,756.4500122,01-09-2022
48,Bharat Petroleum Corp. Ltd.,329.1000061,331.3500061,01-09-2022
49,Shree Cement Ltd.,22097.90039,21586.15039,01-09-2022
